Apartment Name,Address,Rent,Features,Appliances,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3,ZIP Code,City,BORO,Average Rent,If_Pets_Allowed
"500 W 148th St APT 3G, New York, NY 10031","500 W 148th St APT 3G, New York, NY 10031","$2,250/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10031,New York,MANHATTAN,2250.0,Allowed
"93 Bainbridge St #3F, Brooklyn, NY 11233","93 Bainbridge St #3F, Brooklyn, NY 11233","$2,400/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11233,Brooklyn,BROOKLYN,2400.0,Allowed
"321 E 115th St #4A, New York, NY 10029","321 E 115th St #4A, New York, NY 10029","$2,350/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",,,,,,,,,,,10029,New York,MANHATTAN,2350.0,Allowed
"1030 Woodycrest Ave APT 1F, Bronx, NY 10452","1030 Woodycrest Ave APT 1F, Bronx, NY 10452","$1,900/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10452,Bronx,BRONX,1900.0,Allowed
Hudson Crossing,"400 W 37th St, Manhattan, NY 10018",,Apartment buildingStudio-2 bedsPet-friendlyAir conditioning availableShared laundry,"Dishwasher, Microwave oven, Refrigerator",P.S. 51 Elias Howe,PK-5,7.0,Middle 297,6-8,4.0,Professional Performing Arts High School,6-12,7.0,10018,Manhattan,MANHATTAN,,Allowed
The Melar,"250 W 93rd St, New York, NY 10025",,,Dishwasher,PS 84 Lillian Weber,PK-5,7.0,Community Action School Ms 258,6-8,4.0,The Global Learning Collaborative,9-12,5.0,10025,New York,MANHATTAN,,N/A
"300 W 135th St APT 3L, New York, NY 10030","300 W 135th St APT 3L, New York, NY 10030","$2,650/mo",ApartmentAvailable --- ---- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,,,,,,,,,,,10030,New York,MANHATTAN,2650.0,N/A
"154 Franklin St APT 3F, Brooklyn, NY 11222","154 Franklin St APT 3F, Brooklyn, NY 11222","$4,950/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11222,Brooklyn,BROOKLYN,4950.0,Allowed
"867 Riverside Dr APT 4-R, New York, NY 10032","867 Riverside Dr APT 4-R, New York, NY 10032","$2,300/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,10032,New York,MANHATTAN,2300.0,N/A
"421 E 73rd St APT 2A, New York, NY 10021","421 E 73rd St APT 2A, New York, NY 10021","$3,000/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,10021,New York,MANHATTAN,3000.0,N/A
