Apartment Name,Address,Rent,Features,Appliances,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3,ZIP Code,City,BORO,Average Rent,If_Pets_Allowed
"60 Water St APT 1603, Brooklyn, NY 11201","60 Water St APT 1603, Brooklyn, NY 11201","$5,495/mo","ApartmentAvailable Wed Oct 23 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11201,Brooklyn,BROOKLYN,5495.0,Allowed
"460 W 24th St APT 8F, New York, NY 10011","460 W 24th St APT 8F, New York, NY 10011","$5,895/mo","ApartmentAvailable Sat Nov 9 2024-- One-time feesCats, dogs OK-- A/C-- LaundryGarage parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,5895.0,Allowed
"141-40 Pershing Cres #4, Jamaica, NY 11435","141-40 Pershing Cres #4, Jamaica, NY 11435","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11435,Jamaica,QUEENS,2000.0,N/A
"152-09 88th Ave #522, Jamaica, NY 11432","152-09 88th Ave #522, Jamaica, NY 11432","$2,700/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11432,Jamaica,QUEENS,2700.0,Allowed
"513 E 82nd St APT 1D, New York, NY 10028","513 E 82nd St APT 1D, New York, NY 10028","$3,000/mo","ApartmentAvailable Wed Nov 6 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",,,,,,,,,,,10028,New York,MANHATTAN,3000.0,Allowed
"40-22 College Point Blvd #10C, Flushing, NY 11354","40-22 College Point Blvd #10C, Flushing, NY 11354","$3,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Valet parking-- Heating",,,,,,,,,,,11354,Flushing,QUEENS,3000.0,Allowed
Park Towers South,"315 W 57th St, New York, NY 10019",,,,,,,,,,,,,10019,New York,MANHATTAN,,Not Allowed
Liberty Court,"200 Rector Pl, New York, NY 10280",,Apartment buildingStudio-5 beds,Dishwasher,Middle 297,6-8,4.0,Battery Park City School,PK-8,9.0,Leadership And Public Service High School,9-12,5.0,10280,New York,MANHATTAN,,N/A
"885 6th Ave #24H, New York, NY 10001","885 6th Ave #24H, New York, NY 10001","$5,595/mo",ApartmentAvailable Sat Nov 9 2024-- One-time fees-- PetsCentral airIn unit laundry + 1Garage parking-- Heating,,,,,,,,,,,10001,New York,MANHATTAN,5595.0,N/A
"497 Saint Marks Ave APT 6E, Brooklyn, NY 11238","497 Saint Marks Ave APT 6E, Brooklyn, NY 11238","$3,190/mo",ApartmentAvailable Tue Oct 15 2024-- One-time feesCats OKCentral airShared laundryGarage parking-- Heating,,,,,,,,,,,11238,Brooklyn,BROOKLYN,3190.0,Allowed
"3203 Nostrand Ave APT 2A, Brooklyn, NY 11229","3203 Nostrand Ave APT 2A, Brooklyn, NY 11229","$2,199/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,11229,Brooklyn,BROOKLYN,2199.0,N/A
"228 W 71st St APT 4G, New York, NY 10023","228 W 71st St APT 4G, New York, NY 10023","$3,924/mo","ApartmentAvailable Fri Jan 3 2025-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",,,,,,,,,,,10023,New York,MANHATTAN,3924.0,Allowed
"671 Bushwick Ave #2G, Brooklyn, NY 11221","671 Bushwick Ave #2G, Brooklyn, NY 11221","$2,750/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2750.0,Allowed
"13105 40th Rd APT 11G, Flushing, NY 11354","13105 40th Rd APT 11G, Flushing, NY 11354","$3,300/mo",ApartmentAvailable Fri Nov 1 2024-- One-time fees-- PetsCentral airIn unit laundry + 1Garage parking-- Heating,,,,,,,,,,,11354,Flushing,QUEENS,3300.0,N/A
"303 10th Ave APT 3E, New York, NY 10001","303 10th Ave APT 3E, New York, NY 10001","$4,995/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,10001,New York,MANHATTAN,4995.0,Allowed
"244 W 72nd St APT 8B, New York, NY 10023","244 W 72nd St APT 8B, New York, NY 10023","$3,750/mo",ApartmentAvailable Mon Nov 11 2024-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,10023,New York,MANHATTAN,3750.0,N/A
"105 Conselyea St #A, Brooklyn, NY 11211","105 Conselyea St #A, Brooklyn, NY 11211","$3,200/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11211,Brooklyn,BROOKLYN,3200.0,N/A
"333 E 43rd St #615, New York, NY 10017","333 E 43rd St #615, New York, NY 10017","$3,750/mo","ApartmentAvailable Sun Dec 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10017,New York,MANHATTAN,3750.0,Allowed
"1838 2nd Ave #2A, New York, NY 10128","1838 2nd Ave #2A, New York, NY 10128","$3,645/mo",ApartmentAvailable Mon Dec 9 2024-- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,,,,,,,,,,,10128,New York,MANHATTAN,3645.0,N/A
Union Square South,"1 Union Square S, New York, NY 10003",,,"Dishwasher, Freezer, Oven, Range, Refrigerator",,,,,,,,,,10003,New York,MANHATTAN,,N/A
Claridge House,"201 E 87th St, Manhattan, NY 10128",,Apartment buildingStudio-4 bedsPet-friendlyOther parking + 2Air conditioning (central)In-unit dryer + 2,"Dishwasher, Dryer, Washer",,,,,,,,,,10128,Manhattan,MANHATTAN,,Allowed
W Downtown Hotel & Residences,"123 Washington St, New York, NY 10006",,Apartment buildingStudio-24 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",,,,,,,,,,10006,New York,MANHATTAN,,N/A
"79 W 12th St APT 6F, New York, NY 10011","79 W 12th St APT 6F, New York, NY 10011","$7,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,7500.0,Allowed
"262 Prospect Park W #2R, Brooklyn, NY 11215","262 Prospect Park W #2R, Brooklyn, NY 11215","$2,700/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesNo pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11215,Brooklyn,BROOKLYN,2700.0,Not Allowed
"105 Norfolk St APT 10C, New York, NY 10002","105 Norfolk St APT 10C, New York, NY 10002","$5,750/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,10002,New York,MANHATTAN,5750.0,Allowed
"577 3rd Ave #6B, Brooklyn, NY 11215","577 3rd Ave #6B, Brooklyn, NY 11215","$3,499/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundryGarage parking-- Heating",,,,,,,,,,,11215,Brooklyn,BROOKLYN,3499.0,Allowed
"1 Dutch St APT 7A, New York, NY 10038","1 Dutch St APT 7A, New York, NY 10038","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,10038,New York,MANHATTAN,5000.0,Allowed
The Westminster,"180 W 20th St, Manhattan, NY 10011",,,,,,,,,,,,,10011,Manhattan,MANHATTAN,,N/A
"500 18th St #17B, New York, NY 10011","500 18th St #17B, New York, NY 10011","$13,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,13500.0,Allowed
"1004 Fulton St #2B, Brooklyn, NY 11238","1004 Fulton St #2B, Brooklyn, NY 11238","$3,595/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11238,Brooklyn,BROOKLYN,3595.0,Allowed
"222 W 83rd St #10H, New York, NY 10024","222 W 83rd St #10H, New York, NY 10024","$4,395/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,10024,New York,MANHATTAN,4395.0,N/A
"1595 Lexington Ave APT 5G, New York, NY 10029","1595 Lexington Ave APT 5G, New York, NY 10029","$3,400/mo",ApartmentAvailable Now-- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,,,,,,,,,,,10029,New York,MANHATTAN,3400.0,N/A
