ADDRESS,APARTMENT NAME,RENT,FEATURES,APPLIANCES,SCHOOL_NAME_1,GRADES_1,RANK_1,SCHOOL_NAME_2,GRADES_2,RANK_2,SCHOOL_NAME_3,GRADES_3,RANK_3,ZIP CODE,CITY,BORO,AVERAGE RENT,IF_PETS_ALLOWED,FACTYPE,BUS STATION,COMMERCIAL GARAGE AND PARKING LOT,MUSEUM,PUBLIC LIBRARY,Safety_level
"4005 Crescent St #2G, Long Island City, NY 11101","4005 Crescent St #2G, Long Island City, NY 11101","$3,200/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundryGarage parking-- Heating,,,,,,,,,,,11101,Long Island City,QUEENS,3200.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"41-41 43rd St #E7, Sunnyside, NY 11104","41-41 43rd St #E7, Sunnyside, NY 11104","$2,900/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11104,Sunnyside,QUEENS,2900.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"414 Bainbridge St #1, Brooklyn, NY 11233","414 Bainbridge St #1, Brooklyn, NY 11233","$2,800/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CIn unit laundry + 1-- ParkingFireplace,,,,,,,,,,,11233,Brooklyn,BROOKLYN,2800.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"417 Gates Ave APT 3, Brooklyn, NY 11216","417 Gates Ave APT 3, Brooklyn, NY 11216","$2,400/mo","ApartmentAvailable Mon Oct 14 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11216,Brooklyn,BROOKLYN,2400.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"420 Carroll St, Brooklyn, NY 11215",420 Carroll,"$3,435/mo",,"Dishwasher, Dryer, Freezer, Oven, Refrigerator, Washer, Washer/dryer hookups",,,,,,,,,,11215,Brooklyn,BROOKLYN,3435.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"421 E 73rd St APT 2A, New York, NY 10021","421 E 73rd St APT 2A, New York, NY 10021","$3,000/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,10021,New York,MANHATTAN,3000.0,,MUSEUM,0,123,63,43,Very Safe
"43 Douglaston Pkwy #82084D7DC, Little Neck, NY 11363","43 Douglaston Pkwy #82084D7DC, Little Neck, NY 11363","$2,295+/mo","ApartmentAvailable --- ---- One-time feesSmall dogs OKAir conditioner, wall unit, ceiling fanIn unit laundryParking lot parking-- Heating",,,,,,,,,,,11363,Little Neck,QUEENS,2295.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"4311 Ditmars Blvd #2F, Astoria, NY 11105","4311 Ditmars Blvd #2F, Astoria, NY 11105","$2,200/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11105,Astoria,QUEENS,2200.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"460 W 24th St APT 8F, New York, NY 10011","460 W 24th St APT 8F, New York, NY 10011","$5,895/mo","ApartmentAvailable Sat Nov 9 2024-- One-time feesCats, dogs OK-- A/C-- LaundryGarage parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,5895.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"461 Dean St, Brooklyn, NY 11217",461 Dean,"$4,095-$5,645/mo",Apartment building1-2 bedsPet-friendlyAir conditioning availableIn-unit dryer + 2,"Dishwasher, Dryer, Garbage disposal, Microwave oven, Washer",,,,,,,,,,11217,Brooklyn,BROOKLYN,4870.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"485 Cpw #4C, New York, NY 10025","485 Cpw #4C, New York, NY 10025","$3,000/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10025,New York,MANHATTAN,3000.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"492 Lefferts Ave APT 7F, Brooklyn, NY 11225","492 Lefferts Ave APT 7F, Brooklyn, NY 11225","$2,400/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundryGarage parking-- Heating",,,,,,,,,,,11225,Brooklyn,BROOKLYN,2400.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"497 Saint Marks Ave APT 6E, Brooklyn, NY 11238","497 Saint Marks Ave APT 6E, Brooklyn, NY 11238","$3,190/mo",ApartmentAvailable Tue Oct 15 2024-- One-time feesCats OKCentral airShared laundryGarage parking-- Heating,,,,,,,,,,,11238,Brooklyn,BROOKLYN,3190.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"5 Lincoln Ave, Bronx, NY 10454",Lincoln at Bankside,"$3,010-$3,675/mo",,"Dryer, Washer",Ps 154 Jonathan D Hyatt,PK-5,5.0,Bronx Academy Of Letters,6-12,2.0,,,,10454,Bronx,BRONX,3342.5,Allowed,COMMERCIAL GARAGE AND PARKING LOT,0,32,3,35,Relatively Safe
"500 18th St #17B, New York, NY 10011","500 18th St #17B, New York, NY 10011","$13,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,13500.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"500 W 148th St APT 3G, New York, NY 10031","500 W 148th St APT 3G, New York, NY 10031","$2,250/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10031,New York,MANHATTAN,2250.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"509 Van Buren St #3R, Brooklyn, NY 11221","509 Van Buren St #3R, Brooklyn, NY 11221","$2,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2500.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"510 E 13th St APT 5A, New York, NY 10009","510 E 13th St APT 5A, New York, NY 10009","$2,711/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,10009,New York,MANHATTAN,2711.0,,MUSEUM,0,123,63,43,Very Safe
"513 E 82nd St APT 1D, New York, NY 10028","513 E 82nd St APT 1D, New York, NY 10028","$3,000/mo","ApartmentAvailable Wed Nov 6 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",,,,,,,,,,,10028,New York,MANHATTAN,3000.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"52 W 56th St APT 4F, New York, NY 10019","52 W 56th St APT 4F, New York, NY 10019","$3,100/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10019,New York,MANHATTAN,3100.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"536 W 143rd St #29, New York, NY 10031","536 W 143rd St #29, New York, NY 10031","$2,185/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10031,New York,MANHATTAN,2185.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"55 Suffolk St, New York, NY 10002",The Suffolk,"$3,796/mo",,"Dishwasher, Dryer, Microwave oven, Washer",,,,,,,,,,10002,New York,MANHATTAN,3796.0,,MUSEUM,0,123,63,43,Very Safe
"550 10th Ave #1510, New York, NY 10018","550 10th Ave #1510, New York, NY 10018","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,10018,New York,MANHATTAN,5000.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"577 3rd Ave #6B, Brooklyn, NY 11215","577 3rd Ave #6B, Brooklyn, NY 11215","$3,499/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundryGarage parking-- Heating",,,,,,,,,,,11215,Brooklyn,BROOKLYN,3499.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"60 Water St APT 1603, Brooklyn, NY 11201","60 Water St APT 1603, Brooklyn, NY 11201","$5,495/mo","ApartmentAvailable Wed Oct 23 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11201,Brooklyn,BROOKLYN,5495.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"60 Wharf Dr, Brooklyn, NY 11222",West Wharf,"$3,631-$4,500/mo",Apartment buildingStudio-3 bedsPet-friendlyAir conditioning availableIn-unit dryer + 2,"Dishwasher, Dryer, Microwave oven, Washer",,,,,,,,,,11222,Brooklyn,BROOKLYN,4065.5,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"671 Bushwick Ave #2G, Brooklyn, NY 11221","671 Bushwick Ave #2G, Brooklyn, NY 11221","$2,750/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2750.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"691 Chauncey St APT 1B, Brooklyn, NY 11207","691 Chauncey St APT 1B, Brooklyn, NY 11207","$3,300/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airShared laundry-- Parking-- Heating",,,,,,,,,,,11207,Brooklyn,BROOKLYN,3300.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"698 Eastern Pkwy #2R, Brooklyn, NY 11213","698 Eastern Pkwy #2R, Brooklyn, NY 11213","$2,265/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11213,Brooklyn,BROOKLYN,2265.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"74 Palmetto St #2F, Brooklyn, NY 11221","74 Palmetto St #2F, Brooklyn, NY 11221","$2,850/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2850.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"75 W End Ave #S15J, New York, NY 10023","75 W End Ave #S15J, New York, NY 10023","$4,750/mo","ApartmentAvailable Sat Oct 12 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,10023,New York,MANHATTAN,4750.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"79 W 12th St APT 6F, New York, NY 10011","79 W 12th St APT 6F, New York, NY 10011","$7,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,10011,New York,MANHATTAN,7500.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"819 Lexington Ave #4A, Brooklyn, NY 11221","819 Lexington Ave #4A, Brooklyn, NY 11221","$2,975/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2975.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11415,Kew Gardens,QUEENS,2000.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"867 Riverside Dr APT 4-R, New York, NY 10032","867 Riverside Dr APT 4-R, New York, NY 10032","$2,300/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,10032,New York,MANHATTAN,2300.0,,MUSEUM,0,123,63,43,Very Safe
"885 6th Ave #24H, New York, NY 10001","885 6th Ave #24H, New York, NY 10001","$5,595/mo",ApartmentAvailable Sat Nov 9 2024-- One-time fees-- PetsCentral airIn unit laundry + 1Garage parking-- Heating,,,,,,,,,,,10001,New York,MANHATTAN,5595.0,,MUSEUM,0,123,63,43,Very Safe
"93 Bainbridge St #3F, Brooklyn, NY 11233","93 Bainbridge St #3F, Brooklyn, NY 11233","$2,400/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11233,Brooklyn,BROOKLYN,2400.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"95 Wall St, New York, NY 10005",95 Wall,"$3,558-$4,710/mo",Apartment buildingStudio-2 bedsPet-friendlyAir conditioning availableIn-unit dryer + 2,"Dryer, Oven, Washer",Peck Slip School (The),PK-5,8.0,Jhs 104 Simon Baruch,6-8,7.0,Millennium High School,9-12,8.0,10005,New York,MANHATTAN,4134.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"9745 Queens Blvd APT 1201, Rego Park, NY 11374","9745 Queens Blvd APT 1201, Rego Park, NY 11374","$2,945/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- LaundryGarage parking-- Heating",,,,,,,,,,,11374,Rego Park,QUEENS,2945.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
